;8;9;12;15;16;17;19;24;23;25;26;27;28;29;31;33;32;34;37;38;39;40;43;45;46;47;48;51;54;55;58;59;60;63;64;65;66;67;68;70;71;72;76;77;78;82;84;85;87;89;90;91;94;95;97;98;99;100;101;102;103;104;105;106;108;109;110;111;112;113;115;118;119;121;123;126;127;130;132;134;135;136;137;138;139;140;141;142;143;144;148;150;151;152;153;154;156;158;160;161;163;164;166;167;168;172;175;176;177;178;179;184;185;186;187;188;190;193;194;195;196;
GARNERO SANTANCHE' Daniela;75;0;0;31.67;0;0;100;0;0;0;0;100;100;50;27.59;0.37;30.92;0;0;4.42;0;15.38;87.5;0;100;0;63.3;1.28;100;5.56;0.97;0;0;0.84;0;26.32;100;21.28;100;100;100;100;100;100;84;100;0;54.33;0;0;0;64;38.32;80;0;62.96;0;0;50;0;0;0;0;87.23;0;100;100;0;100;100;100;42.19;60;1.92;0;0;0;0;98.68;20.61;0;100;0.79;0;8.66;50;100;50;0.79;100;0;15.79;0;100;0;0;0;0;0;0;1.1;2.94;100;0;5.26;0;0;50;0;100;12.5;0;22.22;100;0;10.53;0;0;0;100;0
GASPARRI Maurizio;93.75;0;0;0;0;0;0;0;0;0;100;0;100;94.44;65.52;11.72;7.73;0;0;0;20;0;100;0;100;0;0;1.28;0;38.89;1.3;0;0;16.32;0;0;0;0;0;0;0;0;0;0;4;0;0;7;0;27.27;0;0;0;0;3.03;0;0;0;0;100;0;0;0;0;0;98.11;100;25.64;0;0;0;0.98;20;0;0;0;100;0;0;0;20;0;99.21;0;0;0;0;0;0.79;0;0;36.84;0;0;0;100;0;0;100;0;0;0;0;0;57.89;0;0;50;100;0;12.5;0;0;0;0;5.26;0;0;0;0;23.81
GIRO Francesco Maria;81.25;0;0;0;0;0;100;100;0;0;0;0;0;0;73.56;6.96;0;10;0;0;60;0;0;40;0;0;2.75;0;100;0;6.49;0;0;0.84;0;5.26;0;0;0;0;0;0;0;0;0;0;100;6;0;0;0;100;0;90;33.33;0;100;0;0;0;14.06;100;0;8.51;0;0;0;100;0;0;100;47.46;20;9.62;26.77;0;0;0;0;33.59;0;0;0;0;0;0;0;0;0;0;0;15.79;27.27;0;0;0;0;0;0;44.44;1.1;88.24;0;0;94.74;0;86.21;50;0;0;37.5;0;22.22;100;0;5.26;0;9.09;0;0;85.71
LA RUSSA Ignazio;0;0;100;5;83.33;33.33;0;100;27.27;100;100;100;100;5.56;100;100;100;100;100;100;0;100;100;0;6.25;57.14;48.62;98.72;100;72.22;100;100;0;1.26;86.86;100;100;100;100;100;100;0;100;33.33;100;100;100;1.67;0;0;0;0;7.63;10;0;0;100;0;50;100;100;0;93.75;97.87;7.69;100;100;100;100;81.25;100;58.59;40;100;100;0;0;0;100;0;20;90.48;100;100;0;50;98.7;0;99.21;100;0;0;27.27;0;0;100;0;100;100;0;97.8;14.71;100;100;100;66.67;96.55;50;0;100;12.5;100;11.11;100;53.85;94.74;0;100;0;100;100
MARGIOTTA Salvatore;0;0;0;0;0;0;0;0;0;0;0;92.31;0;0;0;6.96;0;0;0;0;0;100;0;0;0;57.14;0;44.87;0;38.89;0.32;0;0;0;2.29;26.32;0;2.13;1.45;0;0;0;0;100;56;0;0;0;0;0;0;0;100;100;6.06;81.48;100;0;0;0;0;50;0;8.51;0;0;0;71.79;0;0.69;0;0.2;0;67.31;0;0;0;0;30.26;2.29;0;9.52;0;0;0;0;98.7;0;0;0;0;100;84.09;0;0;0;55.56;0;0;0;0;0;0;0;0;0;10.34;0;0;0;0;0;11.11;0;0;0;0;9.09;0;0;0
MARINO Mauro Maria;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;55.56;0;0;0.88;0;0;0;0;100;42.86;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;8.51;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERLO Ricardo Antonio;18.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MISIANI Antonio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;24.77;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;100;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;98.44;0;0;2.13;7.69;0;0;0;0;0;0;0.39;20;0;0;0;0;0;0;0;0;0;0;100;0;0;20.78;0;0;0;0;0;0;0;0;0;0;0;0;0;98.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MONTANI Enrico;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PAROLI Adriano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PINOTTI Roberta;18.75;0;0;0;0;0;0;100;9.09;0;0;0;0;0;13.79;0;0;0;0;0;0;100;0;0;0;0;0;11.54;0;0;0;0;0;0.42;9.71;0;0;0;1.45;0;0;100;0;100;16;0;100;0;0;0;0;0;81.15;0;0;40.74;100;0;0;0;0;0;0;87.23;0;0;0;0;0;0;0;0;0;0;3.15;0;0;0;0;19.85;0;0;11.02;0;0;0;31.17;0;0;0;0;0;0;0;0;0;100;0;11.63;33.33;0;0;0;0;0;0;0;50;0;100;12.5;0;11.11;100;0;0;0;0;0;0;0
ROMANI Paolo;93.75;100;100;100;100;100;100;100;100;100;100;100;100;100;100;0;44.44;100;100;100;100;100;100;100;100;100;100;100;100;100;33.12;100;0;0.84;0;100;100;2.13;0;100;0;100;100;100;100;0;100;100;100;100;100;96;0;100;0;0;0;0;100;100;0;100;100;100;100;100;100;100;0;0;0;0;0;17.31;2.36;100;100;0;100;0;0;100;0;0;0;0;0;0;0.79;0;0;100;100;0;0;100;44.44;100;0;0;0;0;100;0;0;100;86.21;50;0;100;0;0;11.11;100;0;100;0;0;0;100;85.71
URSO Adolfo;0;0;0;20;0;0;0;66.67;0;0;0;7.69;100;0;0;0;0;0;0;79.65;0;0;0;0;0;0;11.01;0;0;0;85.71;0;0;0.42;37.71;100;0;0;0;0;0;0;0;66.67;0;0;0;19.67;0;0;0;0;29.28;0;15.15;0;0;0;0;0;0;0;0;0;7.69;0;0;0;33.33;2.08;0;32.03;10;0;0;0;0;0;0;0;0;0;18.9;0;0;33.33;1.3;0;0;0;0;0;0;0;0;100;33.33;100;76.74;100;2.2;0;0;0;92.11;0;62.07;0;100;0;0;0;0;0;0;5.26;0;0;0;0;0
VITALI Luigi;18.75;0;0;5;0;0;0;0;0;0;0;0;0;0;73.56;0;20.77;0;0;0;0;0;0;0;0;0;0;44.87;0;0;0;0;0;0.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ALBERTI CASELLATI Maria Elisabetta;100;0;0;100;100;100;100;100;72.73;100;100;100;100;94.44;0;82.78;5.31;10;0;7.96;100;100;100;100;0;57.14;100;88.46;0;94.44;100;0;100;10.88;100;100;0;100;100;0;0;100;100;66.67;100;100;0;100;0;4.55;100;4;7.94;90;100;81.48;0;0;0;100;0;50;100;100;100;100;0;100;100;0.69;100;58.59;100;100;96.06;100;0;100;98.68;100;100;100;100;100;100;33.33;100;0;62.2;0;0;0;100;0;0;75;44.44;100;100;100;100;100;100;67.97;92.11;0;0;100;100;0;62.5;0;100;100;100;100;0;9.09;0;0;100
BALBONI Alberto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.79;0;0;1.45;0;0;0;0;66.67;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7.69;0;100;35.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;11.11;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BINETTI Paola;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.82;0;100;6.49;0;0;1.26;13.14;0;100;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;12.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.33;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BONFRISCO Anna Cinzia;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.76;0;0;0;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;46.15;0;0;0;0;0;0;69.29;0;0;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.;N.D.
CALDEROLI Roberto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.48;0;0;0;0;0;0;0;0;0;0;11.54;0;0;0.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DE PETRIS Loredana;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;7.69;0;0;0;0;0;0;0;94.44;0.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;100;0;0;0;0;0;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.53;0;0;0;0;0;0;0;0;0;0;0;0;27.27;0;0;0;0;0;0;88.89;0;2.94;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
DE POLI Antonio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.55;0;0;0;80;3.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.79;0;6.3;8.33;0;0;0;0;0;0;0;0;0;62.5;0;0;0;0;0;0;0;0;0;0;10.34;0;0;0;0;0;0;0;0;94.74;0;9.09;0;0;0
